phase,split,run_id,sample_id,seed,arm,success,returned_model_actions,support_update_events,support_loss_improved_rate,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
ood,val_small_tee,ood_smalltee_frozen_n5,0,1,FROZEN,True,5,0,,small_tee,25,1,contrast (repeated within episode; not independent samples),0.01091341745108366,0.029439033133594653,0.30923076923076925,0.72,3,0.12,17,0.17647058823529413,1e-06,0.76,2,0.08,12,0.16666666666666666,0.028777786791324617,0.02982785563915968,0.0026623494923114777,0.0
ood,val_small_tee,ood_smalltee_frozen_n5,1,101,FROZEN,True,7,0,,small_tee,35,1,contrast (repeated within episode; not independent samples),0.052771974142108644,0.16472269538422268,0.428461377897836,0.6,10,0.2857142857142857,26,0.38461538461538464,1e-06,0.7142857142857143,7,0.2,19,0.3684210526315789,0.046571214031428096,0.056449658583317484,0.0036125779151916504,0.0
ood,val_small_tee,ood_smalltee_frozen_n5,2,201,FROZEN,True,7,0,,small_tee,35,1,contrast (repeated within episode; not independent samples),0.019063552229532172,0.05021587643216675,0.03516144856982572,0.5428571428571428,12,0.34285714285714286,25,0.48,1e-06,0.6285714285714286,8,0.22857142857142856,18,0.4444444444444444,0.008384525908955507,0.023669158880199704,0.012073136866092682,0.0
ood,val_small_tee,ood_smalltee_frozen_n5,3,301,FROZEN,True,7,0,,small_tee,35,1,contrast (repeated within episode; not independent samples),0.004987552136714969,0.01246126708130222,0.0830590379514275,0.5142857142857142,11,0.3142857142857143,25,0.44,1e-06,0.5714285714285714,9,0.2571428571428571,18,0.5,0.01080703175227557,0.010831763156290565,0.030765593983232975,0.0
ood,val_small_tee,ood_smalltee_frozen_n5,4,401,FROZEN,True,9,0,,small_tee,45,1,contrast (repeated within episode; not independent samples),0.018077572931845982,0.07849704367049053,0.11068652092404307,0.6,7,0.15555555555555556,30,0.23333333333333334,1e-06,0.6,7,0.15555555555555556,21,0.3333333333333333,0.026478533136347928,0.021609131557246048,0.04141621291637421,0.0
ood,val_small_tee,ood_smalltee_official_n5,0,1,OFFICIAL_ADAJEPA,True,5,5,1.0,small_tee,25,1,contrast (repeated within episode; not independent samples),0.00949777752161026,0.022235969741053956,0.09461538461538462,0.44,10,0.4,18,0.5555555555555556,1e-06,0.52,8,0.32,13,0.6153846153846154,0.027672699987888336,0.03256923273205757,0.01566324383020401,4.248347133398056e-05
ood,val_small_tee,ood_smalltee_official_n5,1,101,OFFICIAL_ADAJEPA,True,8,8,1.0,small_tee,40,1,contrast (repeated within episode; not independent samples),0.031414141893037595,0.11779015906481947,0.1258032742131665,0.575,10,0.25,29,0.3448275862068966,1e-06,0.675,9,0.225,21,0.42857142857142855,0.02558326795406174,0.02161018853657879,0.006707891821861267,9.103582706302405e-05
ood,val_small_tee,ood_smalltee_official_n5,2,201,OFFICIAL_ADAJEPA,True,6,6,1.0,small_tee,30,1,contrast (repeated within episode; not independent samples),0.019635288906283677,0.04941597989922632,-0.19178996670019327,0.43333333333333335,14,0.4666666666666667,24,0.5833333333333334,1e-06,0.4666666666666667,13,0.43333333333333335,18,0.7222222222222222,0.013560046775576968,0.017296774607772628,0.03371851146221161,2.6507582515478133e-05
ood,val_small_tee,ood_smalltee_official_n5,3,301,OFFICIAL_ADAJEPA,True,5,5,1.0,small_tee,25,1,contrast (repeated within episode; not independent samples),0.007823588345199823,0.018536232475346113,-0.004618939012996821,0.64,6,0.24,21,0.2857142857142857,1e-06,0.72,4,0.16,15,0.26666666666666666,0.01645255770534277,0.015079017784446478,0.037385374307632446,1.6877707093954086e-05
ood,val_small_tee,ood_smalltee_official_n5,4,401,OFFICIAL_ADAJEPA,False,20,20,0.85,small_tee,100,1,contrast (repeated within episode; not independent samples),0.012053040256723761,0.052554094749549134,0.3504856146009385,0.63,23,0.23,72,0.3194444444444444,1e-06,0.69,19,0.19,52,0.36538461538461536,0.012689525950700045,0.014479124704375863,0.07141032814979553,6.27746619284153e-05
ood,val_small_tee,ood_smalltee_predictor_only_n5,0,1,PREDICTOR_ONLY,True,5,5,1.0,small_tee,25,1,contrast (repeated within episode; not independent samples),0.010647224113345146,0.023859430903392067,0.37112614465370436,0.56,9,0.36,18,0.5,1e-06,0.72,5,0.2,13,0.38461538461538464,0.02982656106352806,0.034968307390809056,0.004165936261415482,0.0
ood,val_small_tee,ood_smalltee_predictor_only_n5,1,101,PREDICTOR_ONLY,True,8,8,1.0,small_tee,40,1,contrast (repeated within episode; not independent samples),0.04138986093457788,0.14040729203018903,0.16435272045028146,0.525,11,0.275,29,0.3793103448275862,1e-06,0.6,8,0.2,20,0.4,0.035116865974850954,0.01987846065312624,0.0036125779151916504,0.0
ood,val_small_tee,ood_smalltee_predictor_only_n5,2,201,PREDICTOR_ONLY,True,6,6,1.0,small_tee,30,1,contrast (repeated within episode; not independent samples),0.019314340905596812,0.04592710853211243,0.04739125627278557,0.5,10,0.3333333333333333,24,0.4166666666666667,1e-06,0.6,8,0.26666666666666666,17,0.47058823529411764,0.01249690364735822,0.02110559979143242,0.012073136866092682,0.0
ood,val_small_tee,ood_smalltee_predictor_only_n5,3,301,PREDICTOR_ONLY,True,6,6,1.0,small_tee,30,1,contrast (repeated within episode; not independent samples),0.005563786897497872,0.01397310037522137,0.14373122794469237,0.5,12,0.4,24,0.5,1e-06,0.6333333333333333,8,0.26666666666666666,18,0.4444444444444444,0.013528606831096112,0.013734633258233467,0.03514508903026581,0.0
ood,val_small_tee,ood_smalltee_predictor_only_n5,4,401,PREDICTOR_ONLY,True,17,17,0.8235294117647058,small_tee,85,1,contrast (repeated within episode; not independent samples),0.013643502958995454,0.05994721302875411,0.2639254637781342,0.6235294117647059,22,0.25882352941176473,57,0.38596491228070173,1e-06,0.6588235294117647,18,0.21176470588235294,39,0.46153846153846156,0.01699690809199477,0.015564551464665462,0.009017378091812134,0.0
ood,val_square,ood_square_frozen_n5,0,1,FROZEN,False,20,0,,square,100,1,contrast (repeated within episode; not independent samples),0.0019574651401489973,0.005619237906610967,-0.10605546834173189,0.42,35,0.35,78,0.44871794871794873,1e-06,0.51,22,0.22,51,0.43137254901960786,0.004012153809890151,0.004697074368596077,0.016627401113510132,0.0
ood,val_square,ood_square_frozen_n5,1,101,FROZEN,True,6,0,,square,30,1,contrast (repeated within episode; not independent samples),0.048988465836737306,0.1265183557442258,-0.20716510903426796,0.4,10,0.3333333333333333,20,0.5,1e-06,0.4666666666666667,9,0.3,14,0.6428571428571429,0.013899317383766175,0.05243113363394514,0.02483922243118286,0.0
