phase,split,run_id,arm,sample_id,adaptation_mpc_iter,next_query_mpc_iter,support_loss_delta,support_loss_improved,next_query_mae,next_query_thresholded_false_rate_all,next_query_sign_accuracy,next_query_max_env_worsening
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,10,11,-0.00233231158927083,True,0.00032601547427475454,0.2,0.6,4.833238199353218e-05
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,11,12,-0.0014838115312159061,True,0.0009300509467720985,0.2,0.8,2.1918676793575287e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,12,13,-0.0016264468431472778,True,0.000426538148894906,0.2,0.6,0.00014482438564300537
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,13,14,-0.001437232829630375,True,0.0005135340616106987,0.2,0.8,0.0004208385944366455
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,14,15,-0.0006957689765840769,True,0.00030815694481134415,0.0,0.6,1.1683441698551178e-06
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,15,16,-0.0006410207133740187,True,0.0007735456340014935,0.0,0.8,0.0
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,16,17,2.991827204823494e-05,False,0.0005081609822809696,0.4,0.4,0.0001515233889222145
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,17,18,-0.0004996971692889929,True,0.0006422469392418862,0.2,0.8,0.00021818652749061584
ood,val_I,ood_valI_official_n5,OFFICIAL_ADAJEPA,4,18,19,-0.00013611884787678719,True,0.0002655345946550369,0.0,0.6,5.587935447692871e-09
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,0,1,-0.00488126277923584,True,0.01435222513973713,0.4,0.6,0.005315139889717102
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,1,2,-0.003778054378926754,True,0.046992001682519914,0.2,0.6,0.015025883913040161
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,2,3,-0.0036971988156437874,True,0.026106803864240646,0.4,0.6,0.012371957302093506
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,3,4,-0.002698523923754692,True,0.00349307507276535,0.0,0.8,8.23289155960083e-07
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,4,5,-0.002714049071073532,True,0.002111408580094576,0.4,0.6,6.661191582679749e-05
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,5,6,-0.0029134489595890045,True,0.0025118645280599594,0.4,0.6,0.00014115683734416962
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,6,7,-0.002152814529836178,True,0.001910174358636141,0.0,0.8,4.633329808712006e-06
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,7,8,-0.0033683227375149727,True,0.00030712047591805456,0.2,0.8,4.661409184336662e-05
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,8,9,-0.0014738552272319794,True,0.0006957058794796467,0.2,0.6,9.428057819604874e-05
ood,val_I,ood_valI_predictor_only_n5,PREDICTOR_ONLY,0,9,10,-0.0016237557865679264,True,0.0013112149201333523,0.0,0.6,0.0
